event_id,event_date,entity_id,event_type,severity,estimated_impact
EV0001,2026-01-01,FIE001,qa_check,Medium,13013
EV0002,2026-01-02,FIE031,experiment,Low,29319
EV0003,2026-01-03,FIE008,stakeholder_request,Medium,37005
EV0004,2026-01-04,FIE033,handoff,High,40068
EV0005,2026-01-05,FIE034,exception,High,23885
EV0006,2026-01-06,FIE023,handoff,Low,31030
EV0007,2026-01-07,FIE019,experiment,High,17468
EV0008,2026-01-08,FIE018,handoff,High,37107
EV0009,2026-01-09,FIE006,launch,High,28078
EV0010,2026-01-10,FIE007,qa_check,Low,31996
EV0011,2026-01-11,FIE024,experiment,Low,42302
EV0012,2026-01-12,FIE035,stakeholder_request,Medium,29686
EV0013,2026-01-13,FIE006,qa_check,High,35967
EV0014,2026-01-14,FIE034,exception,Medium,34658
EV0015,2026-01-15,FIE015,stakeholder_request,Low,41837
EV0016,2026-01-16,FIE009,exception,Low,46825
EV0017,2026-01-17,FIE006,exception,Low,14523
EV0018,2026-01-18,FIE029,launch,Low,18170
EV0019,2026-01-19,FIE005,qa_check,Low,7614
EV0020,2026-01-20,FIE008,exception,Medium,18617
EV0021,2026-01-21,FIE034,stakeholder_request,Medium,45032
EV0022,2026-01-22,FIE003,qa_check,High,44618
EV0023,2026-01-23,FIE025,handoff,Low,47097
EV0024,2026-01-24,FIE019,qa_check,Medium,36950
EV0025,2026-01-25,FIE020,qa_check,Low,17316
EV0026,2026-01-26,FIE009,experiment,High,4743
EV0027,2026-01-27,FIE004,experiment,Medium,26393
EV0028,2026-01-28,FIE016,handoff,Low,49719
EV0029,2026-01-29,FIE011,experiment,Low,44950
EV0030,2026-01-30,FIE025,launch,Medium,33154
EV0031,2026-01-31,FIE019,handoff,Medium,36975
EV0032,2026-02-01,FIE019,stakeholder_request,Medium,18553
EV0033,2026-02-02,FIE013,handoff,High,4981
EV0034,2026-02-03,FIE026,qa_check,Low,48050
EV0035,2026-02-04,FIE035,stakeholder_request,Low,38394
EV0036,2026-02-05,FIE022,experiment,Low,25026
EV0037,2026-02-06,FIE026,launch,Low,4647
EV0038,2026-02-07,FIE004,qa_check,High,11940
EV0039,2026-02-08,FIE004,handoff,High,16003
EV0040,2026-02-09,FIE019,handoff,Low,16384
EV0041,2026-02-10,FIE034,exception,Medium,24095
EV0042,2026-02-11,FIE007,handoff,Medium,37857
EV0043,2026-02-12,FIE004,handoff,High,35676
EV0044,2026-02-13,FIE033,stakeholder_request,Medium,14754
EV0045,2026-02-14,FIE003,experiment,Medium,22601
EV0046,2026-02-15,FIE014,exception,Medium,32080
EV0047,2026-02-16,FIE017,launch,High,41020
EV0048,2026-02-17,FIE003,qa_check,Medium,17373
EV0049,2026-02-18,FIE010,exception,High,44789
EV0050,2026-02-19,FIE011,qa_check,Medium,6355
EV0051,2026-02-20,FIE029,experiment,Low,11104
EV0052,2026-02-21,FIE028,exception,Medium,51298
EV0053,2026-02-22,FIE027,exception,High,17848
EV0054,2026-02-23,FIE010,experiment,Low,29608
EV0055,2026-02-24,FIE024,experiment,Low,15167
EV0056,2026-02-25,FIE034,stakeholder_request,High,22130
EV0057,2026-02-26,FIE022,handoff,High,12252
EV0058,2026-02-27,FIE014,stakeholder_request,High,25169
EV0059,2026-02-28,FIE013,qa_check,High,9847
EV0060,2026-03-01,FIE026,exception,High,26232
EV0061,2026-03-02,FIE021,launch,Low,38978
EV0062,2026-03-03,FIE008,stakeholder_request,High,31488
EV0063,2026-03-04,FIE026,exception,High,48392
EV0064,2026-03-05,FIE001,handoff,High,44945
EV0065,2026-03-06,FIE029,handoff,Medium,1225
EV0066,2026-03-07,FIE020,stakeholder_request,Low,50853
EV0067,2026-03-08,FIE035,qa_check,Medium,26380
EV0068,2026-03-09,FIE021,qa_check,Medium,50811
EV0069,2026-03-10,FIE029,qa_check,Low,6633
EV0070,2026-03-11,FIE013,experiment,Low,1111
EV0071,2026-03-12,FIE019,qa_check,Medium,45444
EV0072,2026-03-13,FIE018,stakeholder_request,Low,10787
EV0073,2026-03-14,FIE003,experiment,High,10003
EV0074,2026-03-15,FIE019,experiment,Low,27888
EV0075,2026-03-16,FIE030,stakeholder_request,High,4482
EV0076,2026-03-17,FIE012,stakeholder_request,High,43968
EV0077,2026-03-18,FIE006,qa_check,Low,22513
EV0078,2026-03-19,FIE021,experiment,High,44302
EV0079,2026-03-20,FIE002,stakeholder_request,Low,14881
EV0080,2026-03-21,FIE025,experiment,Low,12804
EV0081,2026-03-22,FIE006,launch,Medium,11939
EV0082,2026-03-23,FIE027,experiment,Medium,43187
EV0083,2026-03-24,FIE001,experiment,Low,43236
EV0084,2026-03-25,FIE007,experiment,Medium,41318
EV0085,2026-03-26,FIE030,exception,Low,8871
